LG,QM,EIY,GLQ,HLL,HML,IKW,KER,KHK,KNV,TNQ,VNK,AEM,ALG,AMN,CTG,DAQ,DAYM780201.lag26,DCQ,DFG,DLK,DVK,DVW,EEM,EM,EY,EYA,EYL,FDE,GGL,GLT,GVL,HRD,IFP,IFT,IIT,ILM,IPI,IVL,IYD,KN,KQS,KTP,LKN,LKP,LME,LNT,MEY,MLT,MM,MMS,MN,MNG,MPN,MRI,MVI,NK,PAG,Pc1.M,Pc2.Hydrophilicity.24,PCH,PFC,PIY,PKF,PSQ,QGF,QI,QII,QLM,QQM,RDL,RGP,RYD,SCK,SFE,SNC,SQR,TMR,VGF,VGG,VHC,VLT,VPQ,WYW,YKI
0.007537688,0.002512563,0,0,0,0,0,0,0,0,0,0.002518892,0,0,0,0,0,0.004098556,0,0.002518892,0.002518892,0,0.002518892,0,0,0,0,0,0,0,0,0,0.002518892,0,0,0,0.002518892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002512563,0,11.76008696,4.78893e-4,0,0,0,0,0,0,0.002512563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004378284,0.002189142,0,0,0,0,0,0,0,0,0,4.3802e-4,0,0,0,0,0,0.055679708,0,0,8.7604e-4,4.3802e-4,0,0,0.003064799,8.75657e-4,0,0,0,0.00131406,4.3802e-4,0,0,0,0,0,0,0,0,0,0.001751313,0,0,4.3802e-4,4.3802e-4,0,0,0,0,0.00262697,4.3802e-4,0.003064799,0,0,0,0,0.002189142,8.7604e-4,84.95077838,0.001942317,0,0,0,0,0.001752081,0,0.001313485,0,0,0,0,4.3802e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004329004,0.002164502,0,0.002169197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055079347,0,0,0,0.002169197,0,0,0,0.004329004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4461067,-0.002848288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002169197,0,0,0,0,0
0.008695652,0.002898551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075851075,0,0,0,0,0,0.002906977,0.002898551,0.002898551,0,0,0,0,0,0.002906977,0,0,0,0,0,0.002906977,0,0,0.002898551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65212654,-6.96689e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003296703,0.001098901,0,0,0,0,0,0,0,0,0,0.00110011,0,0,0,0,0,0.013390158,0,0,0.00110011,0,0,0.00110011,0.002197802,0.003296703,0,0,0,0,0,0,0,0,0.00110011,0,0,0,0,0,0.005494505,0,0,0,0.00110011,0,0,0,0,0.002197802,0.00110011,0,0,0,0,0,0.003296703,0,26.98895014,-1.29907e-4,0,0,0,0,0,0,0.002197802,0,0,0,0,0,0,0,0,0,0,0,0,0.00110011,0,0,0,0,0
0.013377926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044907091,0,0,0,0,0,0,0,0.003344482,0,0,0,0.003355705,0,0,0,0,0,0,0,0,0,0,0.003344482,0,0,0.003355705,0,0,0,0,0,0.003344482,0,0,0,0,0,0,0,0,6.997554356,2.61985e-4,0,0,0,0,0,0,0.003344482,0,0,0,0.003355705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002859867,9.53289e-4,0,9.54198e-4,9.54198e-4,0,0,9.54198e-4,0,0,0,0,0.001908397,0,0,0,0,0.055743858,0,0,0,9.54198e-4,9.54198e-4,9.54198e-4,0.003813155,0.003813155,0,9.54198e-4,0.001908397,0,0,0,0,0,0,9.54198e-4,0,0,0,0,0.001906578,0,0,0,0,0,0,0,0,9.53289e-4,0,9.53289e-4,9.54198e-4,0,0,0,0.003813155,0,16.27871241,0.003098286,0,0,0,0,9.54198e-4,0,0.003813155,0,0,9.54198e-4,0,0,0,0,9.54198e-4,0,0,0,0,9.54198e-4,0,0,9.54198e-4,0,0
0.006355932,0,0,0,0,0,0,0,0,0,0.001413428,0,0,0,0,0,7.06714e-4,0.053640364,0,0,0,7.06714e-4,0,7.06714e-4,0.001412429,0,0,0,0,0,0,0,0,0,0,0,7.06714e-4,0,0,0,0.002824859,0,7.06714e-4,0,7.06714e-4,0,0,0,0,0.001412429,0,0.001412429,0,0,0,0,0.003531073,7.06714e-4,24.95582859,0.002662112,0,0,0,7.06714e-4,0,0,0.002118644,0,0,0,0,7.06714e-4,0,0,0,0,0.001413428,0,0,0,0,7.06714e-4,7.06714e-4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080429379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005747126,0,5.437492342,0.002131942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005780347,0,0,0
0.004310345,0.001436782,0,7.18907e-4,0,0,0,0,0,0,0,7.18907e-4,0,7.18907e-4,0,0,7.18907e-4,0.070632695,0,7.18907e-4,0,0,0,7.18907e-4,0.002873563,0.003591954,0,7.18907e-4,0,0,0,0.001437815,0,0,0,0,7.18907e-4,0,0,0,0.001436782,0,0,0,0,7.18907e-4,0,0,0,7.18391e-4,0,0,0,0,0,7.18907e-4,0.002155172,0,26.63389177,-7.31e-5,0,0,0,0,0,0,0.003591954,0,0,7.18907e-4,0,0,0,0,0,0,0,0,7.18907e-4,0,0,7.18907e-4,0,0,7.18907e-4
0.012539185,0.003134796,0,0,0,0,0,0,0,0,0,0,0.003144654,0.003144654,0,0,0,0.06713978,0,0,0,0,0,0,0.006269592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003144654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003144654,0,0,10.27682284,0.006723717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066537796,0,0,0,0,0,0,0,0.011560694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005780347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.387609089,0.008197146,0,0,0,0,0,0,0,0,0,0,0,0.005813953,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00672495,0,0,6.72948e-4,6.72948e-4,0,0,0,0,0,0,0,0,0,6.72948e-4,0,0,0.071497904,0,0,0,6.72948e-4,0,0,0,0,0,0,0,0,6.72948e-4,0,0,0,0,0,0,0,0,0,6.72495e-4,0,0,0,0,0,0,0,0,0,0,6.72495e-4,0,0,0,0,6.72495e-4,0.002018843,10.21185933,0.00514364,0,0,0,0,0.001345895,0,6.72495e-4,0,0,0,0,6.72948e-4,0,0,0,0,0,0,0,0,0,6.72948e-4,0,0,0
0.006204757,0.003102378,0.001035197,0,0,0,0,0,0.001035197,0,0,0,0,0,0,0,0,0.041216935,0,0,0,0.002070393,0,0,0.001034126,0,0,0,0,0.001035197,0,0,0,0,0,0,0,0,0,0.001035197,0.004136505,0,0.001035197,0,0,0,0,0,0,0.001034126,0.001035197,0,0,0.001035197,0,0,0.002068252,0,21.28949282,1.8531e-4,0,0,0,0,0,0,0.003102378,0,0,0,0.001035197,0,0,0,0,0,0,0,0.001035197,0,0,0,0,0,0
0.001626016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039344673,0,0,0.003257329,0,0,0,0.001626016,0.001626016,0,0,0,0.001628664,0.001628664,0,0,0.001628664,0,0,0,0,0,0,0.001626016,0.001628664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003252033,0,6.779574057,9.58659e-4,0,0,0,0,0,0,0,0,0,0,0,0.001628664,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150828,0,0.002155172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150538,0,0,0,0,0,0,0,0,0,0,0.002150538,0,0,0,0,0,0,8.812291312,0.003037922,0,0,0,0,0.002155172,0,0.002150538,0,0,0,0,0,0,0,0,0,0.002155172,0,0,0,0,0,0,0,0
0.019305019,0,0,0,0.001934236,0,0,0,0.001934236,0,0,0,0,0.001934236,0,0,0,-0.058145131,0,0,0,0,0,0,0.005791506,0.001930502,0.001934236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001930502,0,0,0,0,0,0,0,0,0.001930502,0,0,0,0,0,0,0.001930502,0,11.88328807,0.001924449,0,0,0,0,0,0,0.001930502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034674693,0,0,9.81354e-4,0,0,0,0.001960784,9.80392e-4,0,0,0,9.81354e-4,9.81354e-4,9.81354e-4,0,0,0,0,9.81354e-4,0,0.001962709,0,0.004901961,0,0,0,0,0,9.81354e-4,0,0,9.80392e-4,0,0,0,0,0,0,0.002941176,0,21.76187167,-4.9637e-4,0,0,0,0,0,0,0.001960784,0,0,0,9.81354e-4,9.81354e-4,0,0,0,0,0,0,0.001962709,9.81354e-4,0,0.002944063,0,0,0
0.007783695,0.003687014,0,4.09836e-4,4.09836e-4,4.09836e-4,0,0,0.001229508,4.09836e-4,0,4.09836e-4,0,4.09836e-4,0,0,0,0.051062179,0,4.09836e-4,0,0,4.09836e-4,0,0.001638673,0.001229005,0,0,0,4.09836e-4,0,0,0,4.09836e-4,0,0,0,0,0,0,0.003687014,4.09836e-4,0,4.09836e-4,0,0,8.19672e-4,0,0,0.001229005,0,0.00450635,4.09836e-4,4.09836e-4,0,0,0.002867677,8.19672e-4,87.85306343,0.002063807,0,4.09836e-4,0,0,8.19672e-4,0,0.002458009,4.09836e-4,8.19672e-4,8.19672e-4,0,0,0,0,0,0,0,0,0,0,0,0,4.09836e-4,0,4.09836e-4
0.007459594,0.004973063,0,8.29187e-4,4.14594e-4,4.14594e-4,0,0,8.29187e-4,4.14594e-4,0,0,0,8.29187e-4,0,0,0,0.041800032,0,4.14594e-4,0,0,0,0,8.28844e-4,0.001243266,0,0,0,4.14594e-4,8.29187e-4,0,0,4.14594e-4,0,0,0,0,0,0,0.003729797,0,0,4.14594e-4,4.14594e-4,0,0,0,0,0.002486531,8.29187e-4,0.004973063,4.14594e-4,0.001243781,0,0,0.002486531,4.14594e-4,110.0314899,0.001746567,0,4.14594e-4,0,0,0.001658375,0,0.003729797,4.14594e-4,0,0.001658375,0,8.29187e-4,0,0,0,0,0,0,0,4.14594e-4,0,0,0,0,4.14594e-4
0.007168459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002524687,0,0,0,0,0,0,0.001792115,0.003584229,0,0.001795332,0,0,0,0,0,0,0.001795332,0,0,0,0,0,0.001792115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.968001027,0.002621475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00177305,8.86525e-4,0,0,8.87311e-4,0,0,8.87311e-4,0,0,0,0,0,8.87311e-4,0,0,0,0.037162045,0,0,8.87311e-4,0,0,0,0.00177305,8.86525e-4,0,0,0,8.87311e-4,0,0,0,0,0,0,0,0,0,0,8.86525e-4,0,0,0,0,8.87311e-4,8.87311e-4,0,0,0,0,0,0,0,0,0,8.86525e-4,0,16.82328024,0.002619028,0,0,0,0,0,0,8.86525e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87311e-4,0,0,0
0.003878976,7.75795e-4,0,0,0,7.76398e-4,0,0,7.76398e-4,0,0,7.76398e-4,0,0,0,0,0,-3.7e-5,0,0,7.76398e-4,0,0,7.76398e-4,0.00155159,0.002327386,0,0,7.76398e-4,0,7.76398e-4,7.76398e-4,0,7.76398e-4,0,0,0,0,0,0,0.003878976,0,0,0.001552795,0,7.76398e-4,0,0,0,7.75795e-4,0,0.00155159,0,0,0,0,7.75795e-4,0,29.84914243,1.5229e-4,0,0,0,7.76398e-4,0,0,0.003103181,0,0,0,0,0,0,0,7.76398e-4,0,7.76398e-4,7.76398e-4,0,0,0,7.76398e-4,7.76398e-4,0,0
0.005050505,0.008417508,0,0.001686341,0,0,0,0.001686341,0,0,0,0.001686341,0.003372681,0.001686341,0,0,0,0.041658861,0,0,0,0,0,0,0.01010101,0.003367003,0,0.001686341,0,0,0,0,0,0,0,0,0,0,0,0.001686341,0,0,0,0,0,0.001686341,0,0.001686341,0,0,0,0.001683502,0,0,0,0,0.003367003,0,18.64584451,0.004650936,0,0,0,0,0,0,0.003367003,0,0,0.001686341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
